"","location","state","binge_both_sexes_2007","binge_females_2007","binge_males_2007","any_both_sexes_2007","any_females_2007","any_males_2007"
"1","Liberty County","Florida",12.4,6.3,18.7,32.8,24.2,41.7
"2","Hardee County","Florida",11.7,6.4,17.1,34.7,25.9,43.8
"3","Holmes County","Florida",13.9,8,20,36.7,27.9,45.9
"4","Jackson County","Florida",12.4,7.1,17.9,36.8,28.4,45.5
"5","Washington County","Florida",12.6,7,18.5,37.2,27.9,46.7
"6","Lafayette County","Florida",12.9,8.2,17.8,37.3,30.6,44.1
"7","Union County","Florida",14.6,8.4,21.2,37.8,29.8,46.1
"8","Hamilton County","Florida",13.3,7.3,19.5,38,29.8,46.5
"9","Madison County","Florida",12.7,6.6,19,38.5,29.8,47.6
"10","Calhoun County","Florida",14.5,9.3,19.9,38.8,30.9,47
"11","Suwannee County","Florida",13.5,8.6,18.7,40.1,32.1,48.4
"12","Baker County","Florida",15.3,9,21.9,40.5,31.7,49.6
"13","Gilchrist County","Florida",14.3,8.3,20.4,40.5,31.8,49.5
"14","Bradford County","Florida",15.5,9.6,21.7,40.8,32.1,49.8
"15","Dixie County","Florida",15,9.8,20.4,40.9,35.3,46.8
"16","Gadsden County","Florida",13.7,7.7,19.9,41.4,31.8,51.4
"17","Taylor County","Florida",13.8,8.9,19,41.7,34.6,49
"18","DeSoto County","Florida",15.8,9.1,22.6,42.9,35.7,50.4
"19","Hendry County","Florida",16.7,9.6,24,43.2,34.6,52.1
"20","Putnam County","Florida",16.4,9.9,23.1,44.2,35.9,52.9
"21","Levy County","Florida",15.1,8.9,21.4,44.4,36.1,53
"22","Jefferson County","Florida",14.5,8.3,20.8,45.2,35.7,54.9
"23","Glades County","Florida",15.5,9,22.3,45.4,37.4,53.8
"24","Columbia County","Florida",15.8,9.4,22.6,45.6,36.7,54.8
"25","Gulf County","Florida",17,10.7,23.5,45.9,37.6,54.5
"26","Okeechobee County","Florida",16.5,10.3,22.9,46.2,39.6,53.1
"27","Osceola County","Florida",15.7,9.8,22,49.2,41.4,57.3
"28","Highlands County","Florida",15.9,9.3,22.6,49.8,42.1,57.8
"29","Escambia County","Florida",16,10.7,21.5,50.4,40.8,60.3
"30","Polk County","Florida",16.2,10,22.6,51,42.9,59.4
"31","Miami-Dade County","Florida",15.9,10.6,21.3,51.4,41.9,61.3
"32","Wakulla County","Florida",17.7,11.6,24,51.5,42.5,60.8
"33","Nassau County","Florida",17.1,10.7,23.8,53.1,45.8,60.7
"34","Bay County","Florida",18.4,13.3,23.8,53.4,47,60.2
"35","Duval County","Florida",17.3,11.7,23.1,53.4,45.6,61.6
"36","Walton County","Florida",18,12.2,24,54.8,48,61.8
"37","Santa Rosa County","Florida",16.5,10.4,22.7,55.2,48.8,61.8
"38","Clay County","Florida",17.6,11.6,23.8,55.4,48.3,62.8
"39","Hillsborough County","Florida",17.9,12.2,23.8,55.4,48.8,62.3
"40","Orange County","Florida",17.3,11.6,23.2,55.7,47.6,64.1
"41","Marion County","Florida",17.6,12.1,23.2,55.8,49.5,62.3
"42","Florida","Florida",17.7,12,23.6,56.6,49.3,64.3
"43","Broward County","Florida",16.7,11,22.6,56.9,48.4,65.7
"44","Franklin County","Florida",22.7,16.9,28.8,56.9,47.4,66.7
"45","Sumter County","Florida",17,11,23.1,57,51.8,62.4
"46","Alachua County","Florida",17.2,11.7,22.9,57.2,50.4,64.3
"47","Lake County","Florida",17.3,11.3,23.6,57.2,50.1,64.7
"48","Pasco County","Florida",19,13.8,24.4,57.5,50.7,64.6
"49","Okaloosa County","Florida",17.9,11.4,24.7,57.8,49.8,66.2
"50","St. Lucie County","Florida",18.1,11.9,24.5,57.8,50.6,65.2
"51","Volusia County","Florida",19.6,13.2,26.3,57.8,50.7,65.1
"52","Citrus County","Florida",18.8,12.4,25.3,58,51,65.3
"53","Hernando County","Florida",19,13.2,25,58.1,52.2,64.3
"54","Leon County","Florida",17.6,12.2,23.2,58.5,50.4,66.9
"55","Seminole County","Florida",19.2,13.2,25.4,59,53.3,64.9
"56","Brevard County","Florida",21,14.5,27.7,60.4,53.2,67.9
"57","Manatee County","Florida",19.3,14.1,24.7,60.5,54.7,66.5
"58","Palm Beach County","Florida",17.6,12.5,23,60.8,54.3,67.4
"59","Lee County","Florida",19,13.5,24.7,61.7,55.6,68.1
"60","Charlotte County","Florida",20.5,14.3,27,62.2,55.5,69.1
"61","Flagler County","Florida",19.8,13.4,26.5,62.3,55.5,69.4
"62","Pinellas County","Florida",20,15.1,25.2,62.3,55.1,69.8
"63","Indian River County","Florida",19.3,12.9,25.9,63.9,59.7,68.3
"64","Collier County","Florida",19.1,12.8,25.6,64.2,59.5,69
"65","Martin County","Florida",20,13.9,26.4,66,60.9,71.2
"66","Monroe County","Florida",25.4,19.1,31.8,66.4,61.6,71.4
"67","Sarasota County","Florida",21.1,14.2,28.3,66.6,60.5,72.8
"68","St. Johns County","Florida",21.6,16.1,27.2,68,63,73.1
